Rider,Run #,Round,Course,Lap 1 time,Lap 2 time,Lap 3 time,Total Time,# of Crashes,# of Bad Landings,"Rider Interferance 1 = a little, 2 = medium, 3 = cause a crash, 0 = no INT",Overheat?,Place,Notes,Records,Final Place ,1st Place Rider,best lap
NY,1,Bronze,1,25.6,24.23,23.68,73.51,0,1,0,n,1,Nearly Clean,Best Lap,,,23.68
NY,1,Bronze,2,67.25,76.98,,144.23,0,0,1,n,1,Nearly Clean,,,,67.25
NY,1,Bronze,3,40.85,41.31,41.13,123.29,0,0,2,n,1,,,,,40.85
NY,1,Bronze,4,56.11,53.65,,109.76,0,0,1,n,1,Non Rider INT,,,,53.65
NY,1,Bronze,5,31.98,36.01,29.53,97.52,1,0,1,n,4,Sloppy Race,,1,NY,29.53
NY,1,Silver,1,36.63,35.63,38.86,111.12,0,0,0,n,2,Sloppy Turn,,,,35.63
NY,1,Silver,2,77.05,79.76,,156.81,0,2,0,n,1,Sloppy Turn,Best Time,,,77.05
NY,1,Silver,3,47.24,41.21,42.46,130.91,0,2,2,n,3,Sloppy Race,"Best Time, Best Lap",,,41.21
NY,1,Silver,4,65,64.15,,129.15,0,0,0,n,1,,Best Time,,,64.15
NY,1,Silver,5,39.11,36.51,36.05,111.67,0,0,0,n,1,Sloppy Turn,2 Best Time,1,NY,36.05
NY,1,Gold,1,48.61,48.46,49.16,146.23,0,0,1,n,1,"Best Time, Best Lap",Best Time,,,48.46
NY,1,Gold,2,89.55,100.48,,190.03,1,2,3,n,2,Sloppy Race,,,,89.55
NY,1,Gold,3,60.08,61.93,58.78,180.79,0,1,0,n,1,Nearly Clean,"Best Time, Best Lap",,,58.78
NY,1,Gold,4,94.95,94.8,,189.75,2,1,3,n,2,Sloppy Race,,,,94.8
NY,1,Gold,5,50.9,51.15,60.8,162.85,1,1,3,n,4,Sloppy Race,,1,NY,50.9
NY,1,Platinum,1,82.6,77.75,,160.35,0,0,0,n,1,Clean,"2 Best Time, Best Lap",,,77.75
NY,1,Platinum,2,65.23,68.21,65.25,198.69,0,0,0,n,1,Clean,"Bet Time, Best Lap",,,65.23
NY,1,Platinum,3,88.53,96.43,,184.96,3,1,0,n,1,Epic Clutch,,,,88.53
NY,1,Platinum,4,69.61,66.96,72.36,208.93,1,1,3,n,4,"Sloppy Race, Horrible INT",,,,66.96
NY,1,Platinum,5,77.77,81.71,,159.48,1,0,2,n,3,"Horrible INT, Sloppy Turn",,1,NY,77.77
VS,1,Bronze,1,25.61,24.63,24.83,75.07,0,0,1,y,1,Clean,2 Best Time,,,24.63
VS,1,Bronze,2,68.05,77.45,,145.5,1,0,1,n,1,Sloppy Race,,,,68.05
VS,1,Bronze,3,41.91,40.46,39.11,121.48,0,0,0,n,1,Clean,"2 Best Time, Best Lap",,,39.11
VS,1,Bronze,4,62,56.91,,118.91,0,1,1,n,3,Sloppy Race,,,,56.91
VS,1,Bronze,5,33.51,30.66,39.93,104.1,0,0,2,n,2,Bad INT,3 Best Time,1,VS,30.66
VS,1,Silver,1,37,36.13,39.48,112.61,1,1,3,n,3,Horrible INT,,,,36.13
VS,1,Silver,2,82.15,76.65,,158.8,0,0,1,y,1,"Sloppy Race, Nail Biter",,,,76.65
VS,1,Silver,3,45.7,45.23,43.33,134.26,1,0,3,n,3,Close finish,,,,43.33
VS,1,Silver,4,71.28,68.33,,139.61,3,0,3,n,2,I had the weirdest series of events last 30 seconds,,,,68.33
VS,1,Silver,5,39.47,37.21,35.56,112.24,0,0,1,n,2,"Best Lap, Last Second Finish",,1,VS,35.56
VS,1,Gold,1,54.06,51.01,54.16,159.23,0,0,2,n,4,Messy Start,,,,51.01
VS,1,Gold,2,94.25,95.18,,189.43,0,1,0,y,3,Sloppy Turn,,,,94.25
VS,1,Gold,3,60.2,64.51,65.26,189.97,0,1,2,n,1,Sloppy Turn,,,,60.2
VS,1,Gold,4,88.91,100.66,,189.57,2,1,1,n,2,Sloppy Race,,,,88.91
