Season,TeamID,OR,DR,Ast,TO,Stl,Blk,PF,Avg_Possessions,OffRtg,DefRtg,FG%,FT%,PPG_Diff%,3P%
2007,1440,13.28571429,24,17,12.57142857,10.71428571,3.428571429,18.85714286,84.70285714,112.9103099,114.4673736,0.4563316477,0.6914872599,-1.714285714,0.2970806504
2024,1460,8.166666667,26.33333333,17.83333333,12.33333333,7.666666667,2.666666667,15.83333333,77.52666667,120.9348598,105.2866178,0.5401643267,0.724011827,11.33333333,0.4441863125
2023,1211,9.333333333,23.77777778,17.77777778,8,7.111111111,3.888888889,15.66666667,69.66666667,132.5128969,102.6363847,0.5524544257,0.7248339351,20.77777778,0.3916352386
2018,1126,11,31.75,17.625,15,6.625,4.25,20,80.855,114.2269594,102.1203199,0.4832248464,0.7820194399,9.625,0.3093056771
2024,1104,11.375,24.875,16.75,10.75,6.125,4,22.125,79.4,116.1469182,117.9465441,0.4699061033,0.7433745482,-1.5,0.30600069
2018,1307,7.555555556,23.55555556,15.22222222,13.77777778,7.222222222,2.111111111,23.11111111,76.47555556,119.7901439,110.6938796,0.5160602108,0.8094891085,6.777777778,0.4181061313
2011,1324,12.625,26.125,16.375,10.625,5.875,5.625,16.25,71.985,126.6296886,109.8433835,0.5117845322,0.735304537,12,0.3712163477
2024,1246,7.875,23.875,17.125,12.125,7.25,6,20.125,75.225,120.3420644,111.6874569,0.5114800808,0.8491351377,6.625,0.4205935627
2021,1211,6,26.14285714,15.71428571,12.28571429,8,2.428571429,15.57142857,75.39428571,120.0557963,89.68003897,0.5595463551,0.7404334006,23.14285714,0.4181038812
2004,1112,13.22222222,24.77777778,18,15.22222222,7.777777778,3.111111111,16.77777778,76.65777778,117.7697597,105.5551129,0.4951053863,0.8175160701,9.777777778,0.3833076997
2019,1223,12.875,25.5,17.75,11.375,7.625,2.5,17.125,77.745,115.3619771,111.683276,0.473283174,0.6803226379,2.75,0.3748645334
2016,1267,10,27.66666667,16.77777778,12.55555556,5.777777778,3.222222222,19.77777778,79.14666667,113.4974921,111.4859791,0.4797122756,0.6886290959,1.555555556,0.3395799545
2018,1366,13.625,27.875,16.375,14.75,9.5,2.75,19.5,86.215,103.0227022,105.6190449,0.3964579755,0.7417553803,-2.875,0.2940595862
2019,1125,8.5,28.625,20.25,9.5,6.75,2.625,14,69.785,127.3441235,96.84814209,0.5175983062,0.7958441205,21.125,0.3823458753
2017,1236,9.333333333,27.66666667,19.33333333,12.66666667,6.666666667,3,20.66666667,77.37333333,114.3443285,111.1983603,0.4963719226,0.6993346566,2.333333333,0.3744986814
2012,1370,12.16666667,32,17,14,10.16666667,3.166666667,19.83333333,81.58,108.2401392,94.79287544,0.4647048218,0.6761272142,11.33333333,0.2944994375
2018,1195,9.25,24.5,15.75,12.625,8.375,2.125,18.125,74.05,119.8266262,108.070855,0.517664738,0.7682513576,7.75,0.4095629699
2018,1138,11.9,28.6,17.3,11.2,6.3,4.9,18.7,72.732,120.7902938,102.7685389,0.5030321187,0.692788007,13,0.4036685603
2003,1383,12.11111111,22,18.11111111,18.66666667,10.77777778,3.333333333,21.33333333,77.29777778,112.1619773,106.7897199,0.4943572018,0.7170012799,4.666666667,0.4175591429
2017,1303,12,25.85714286,14.28571429,12.57142857,9.285714286,2.714285714,19.71428571,75.69142857,116.2139318,109.7055667,0.4675991355,0.7406884295,5,0.3898614368
2009,1440,11.125,22.125,18.125,13,14.25,2.5,20.375,81.685,107.3686806,98.52754635,0.4144805382,0.706519558,6.5,0.3386032564
