Season,TeamID,OR,DR,Ast,TO,Stl,Blk,PF,Avg_Possessions,OffRtg,DefRtg,FG%,FT%,PPG_Diff%,3P%
2014,3404,10,24.42857143,18.28571429,9.714285714,13.57142857,2.428571429,15.85714286,75.69142857,127.4466479,88.42369421,0.5166683785,0.7359749832,29.57142857,0.463742236
2019,3323,17.57142857,26.85714286,23.14285714,12.42857143,9.428571429,3.428571429,11.85714286,75.05714286,127.6246025,93.0686328,0.5298357381,0.7794401505,25.85714286,0.3642001517
2024,3234,8.625,25.5,24.625,13.25,6.75,3.25,13.75,79.685,119.9828558,97.20375493,0.4998488758,0.7926641436,17.375,0.4084002147
2024,3267,16,21,18.88888889,16.22222222,14,2.333333333,22.66666667,84.55555556,110.043749,84.9124334,0.4530404152,0.6548006727,20.44444444,0.3780930659
2010,3292,10.14285714,25.42857143,23.71428571,14.57142857,12.42857143,2,18.28571429,76.50285714,120.3536561,91.60957699,0.5195581641,0.7937920559,22.71428571,0.4293326828
2011,3331,16.28571429,28.14285714,14.28571429,16.14285714,12,3.142857143,20.57142857,82.78285714,109.6118673,97.83560944,0.4463768495,0.782550567,10.57142857,0.364936442
2014,3332,18.14285714,29.85714286,14.14285714,18.85714286,7.142857143,3.571428571,18.71428571,87.56571429,104.1311349,111.1975642,0.4103404081,0.7792629338,-6.428571429,0.3158971922
2021,3268,11.54545455,23.54545455,22.09090909,10.54545455,9.727272727,3.181818182,13.27272727,73.96727273,122.853551,89.49463151,0.5172008091,0.7771705634,24.81818182,0.4111177379
2010,3331,13,24.375,19.125,16.875,17.875,3,19.625,81.625,111.1659694,79.17717444,0.4550858068,0.7699151357,26.75,0.3858003517
2014,3460,14.2,25.8,13.8,11,11.4,3.4,18.5,79.752,114.0323344,94.5291904,0.4416008404,0.7644466801,15.5,0.3418750681
2015,3163,13.44444444,30,23.22222222,11.55555556,9.777777778,8,10,69.04444444,131.2992067,64.99047713,0.5652278984,0.7343115102,45.44444444,0.3704438981
2016,3326,12.5,27.125,16.125,13.625,8,4.625,15.5,78.18,114.5930925,99.48790175,0.468574412,0.7521803001,11.5,0.3900825831
2015,3170,19.33333333,20.22222222,17.66666667,12.44444444,15.44444444,1.555555556,18.55555556,79.67555556,111.4702001,94.71995067,0.403358191,0.6911835749,13.88888889,0.343041875
2017,3268,14.25,26.875,19.25,15.75,9.25,4,14.625,74.535,118.9632481,93.92135054,0.5134483424,0.7678479853,18.25,0.4305226636
2012,3404,10.28571429,29.85714286,19.71428571,10.28571429,8.857142857,3.857142857,14,71.77714286,123.2937054,89.46845143,0.4784165472,0.7907770801,23.71428571,0.4901582617
2019,3355,11.42857143,31.28571429,20.85714286,11.28571429,9,2.714285714,15.14285714,70.44571429,125.8396859,87.21003074,0.5175379233,0.7624476965,26.71428571,0.3997907648
2011,3211,14.25,26.75,21.375,11.875,12.125,2.75,15.25,71.995,121.9943866,80.95573049,0.5253349902,0.7139110584,29.875,0.4345440099
2016,3170,20.7,24.9,16.2,15,13.3,2.9,18.7,84.936,103.3120112,96.88630299,0.3768428904,0.7055248623,5.6,0.3007503569
2016,3278,13.42857143,27.28571429,14,12.85714286,6,2,19.28571429,81.36571429,107.8782561,111.7297933,0.434424348,0.765304929,-3.428571429,0.3958938406
2018,3278,15.25,27.375,16.375,10,9.75,3.75,17.25,77.24,113.0676679,103.4737882,0.4223989264,0.7447017986,7.25,0.35021287
2020,3157,15,33.57142857,16.14285714,15,6.428571429,3.857142857,17.42857143,78.92571429,109.4165394,94.72801999,0.4567805443,0.7935166849,11.57142857,0.3346576669
2023,3355,8.625,27.75,20.125,11,8,5,13.125,70.325,123.5199477,75.45119955,0.5375073383,0.7223248106,33.5,0.4481982027
2020,3268,15.875,28.5,20.875,14.125,13,3.75,14.375,76.71,112.5440866,73.69342144,0.4871050879,0.7038647795,30.25,0.368728577
2024,3407,16.28571429,30.14285714,17,14,9.142857143,2.142857143,17,80.71428571,106.8131532,88.49769625,0.4461844484,0.7107709751,15.57142857,0.3346809092
2018,3163,11.33333333,29.55555556,23.33333333,10.44444444,11.44444444,4.888888889,11.11111111,69.45777778,123.8719474,66.51517438,0.5330265759,0.8067471744,40.66666667,0.3770855553
2021,3407,18.8,32.8,17.3,16.1,9.1,4.6,20.4,83.836,103.2234305,85.87564265,0.41302613,0.7766631624,14.6,0.3712997142
2023,3234,6.888888889,26.66666667,21.55555556,14.44444444,6.555555556,2.444444444,14.88888889,75.76,114.1521743,96.58197675,0.5225993832,0.7741293517,13,0.4011564649
2020,3332,11,26.55555556,21.55555556,10.22222222,7.333333333,2.333333333,12.33333333,66.91555556,129.2879852,93.10211593,0.527237321,0.7711422139,24.22222222,0.4387947532
2022,3166,9.5,26.16666667,24.5,10.83333333,7.833333333,2.166666667,13.5,71.86,120.4131064,91.96318332,0.4842098078,0.785846038,19.16666667,0.4054170301
2017,3124,16.625,33,19,14.75,5.625,6.375,17.625,75.025,114.4448949,88.73228706,0.48347073,0.701987144,19.75,0.3849641586
2017,3163,11.55555556,28.11111111,23,11.55555556,10,4.777777778,11,69.06666667,124.6525206,77.05246909,0.5180078038,0.8386011325,33.11111111,0.3755695221
2018,3124,14.22222222,32.33333333,18.33333333,12.22222222,6,6.111111111,15.11111111,71.30222222,120.19383,81.49815605,0.5116015436,0.7699169359,27.33333333,0.3691202407
2021,3234,6.545454545,22.36363636,21,12.45454545,6,2.454545455,14,71.58181818,119.3864292,111.6137276,0.5308650623,0.7922482875,5.363636364,0.4493061652
2020,3177,15.125,21.875,22.125,11.625,10.75,2.125,16.625,75.495,113.1027281,94.88237179,0.4253497074,0.8168128328,13.625,0.3550555611
2019,3141,11.55555556,30.33333333,18.88888889,13.88888889,6.222222222,3.555555556,16,73.60888889,115.7222625,88.35203628,0.4782106494,0.825980491,19.77777778,0.4220883643
2020,3286,10.7,26.1,15.5,12.7,8.7,2.4,17.3,74.628,113.7812833,89.63168639,0.4854690569,0.7579061879,18.1,0.3968230668
2016,3177,15.71428571,26.57142857,20,11.42857143,8.571428571,2.285714286,15,71.01714286,118.9113964,85.25517609,0.4828063535,0.6732492997,24.14285714,0.3557997558
2018,3323,11.875,27,18.125,13.5,7.125,2.625,12.625,71.77,118.3269146,91.00170448,0.5301795197,0.7874534885,19.625,0.4017472111
2017,3179,11.9,26.3,22.4,13.5,11.6,3.3,17.2,72.184,117.359847,81.24887926,0.4975620646,0.6999390935,25,0.4131985458
2017,3125,13.71428571,31.71428571,19.57142857,14.28571429,3.285714286,4.571428571,13.85714286,70.90285714,119.4876292,93.87622748,0.4865348435,0.7541226005,18.14285714,0.388441093
2023,3407,21.42857143,24.85714286,15,14.57142857,11.14285714,2.428571429,22.14285714,83.74857143,100.2008006,98.45025885,0.4030537529,0.6682672436,1.714285714,0.1977215767
2024,3331,10.42857143,23.71428571,14,10.28571429,12.28571429,1.428571429,17.71428571,80.87428571,104.2842319,85.29540209,0.4393551557,0.780366382,15.71428571,0.2679080179
2022,3238,16.6,28.8,14.9,13.6,8.1,4.2,14.7,75.928,110.3983439,83.0522872,0.4595702648,0.6496132468,20.8,0.3262580694
2017,3326,13.5,27.66666667,16.16666667,14.33333333,8.5,8,18.5,75.84,110.4582786,92.49548602,0.4686217788,0.6997953216,14,0.4097770493
2010,3170,17.625,27.25,17.875,14.625,8.5,2.5,14.75,81.31,103.230764,100.5186692,0.3854013242,0.7067884939,2.375,0.3782809617
2022,3234,5.25,26.25,20.25,15,6.5,4.375,16.375,76.53,109.8619828,98.29929846,0.5269150105,0.8211237292,8.625,0.3527199401
2018,3195,13,26.75,20.75,12.875,10,2,16.25,69.3,121.1370185,76.82836232,0.4743345894,0.6793351568,31,0.4021783449
2016,3163,12.33333333,29.22222222,21.55555556,11.11111111,12.11111111,6.444444444,10.22222222,68.84444444,122.2570127,66.62860019,0.5167098448,0.7423280423,38.11111111,0.3704739221
2014,3323,13.11111111,26.11111111,17.88888889,12.77777778,9.555555556,3.222222222,14.66666667,71.79555556,117.0011002,86.02935739,0.4964506646,0.7999281833,22,0.3270622896
2011,3404,12.75,28.75,17.5,11.875,7.75,2.875,13.75,72.66,115.3378966,90.85972633,0.4357114025,0.7301313653,17.25,0.3793295751
