Lap_Number,Cycles,Avg_Stroke_Rate,Tempo_Trend,50_Splits,Source_File,Unique_ID,Race_Date,Breakout Distance (Yards)
1,4.5,1.03,0.05,,H:/CaseStudy/casestudycsv\Tyler Messerschmidt_100 Free_vs_NCAA_March 2015.csv,TylMesM100FreeF20150328,2015-03-28,11.5
2,7,1.17,0.05,20.04,H:/CaseStudy/casestudycsv\Tyler Messerschmidt_100 Free_vs_NCAA_March 2015.csv,TylMesM100FreeF20150328,2015-03-28,5.4
3,8,1.24,0.04,,H:/CaseStudy/casestudycsv\Tyler Messerschmidt_100 Free_vs_NCAA_March 2015.csv,TylMesM100FreeF20150328,2015-03-28,5.2
4,7,1.32,0.07,22.69,H:/CaseStudy/casestudycsv\Tyler Messerschmidt_100 Free_vs_NCAA_March 2015.csv,TylMesM100FreeF20150328,2015-03-28,4.8
1,4.5,1.12,0.06,,H:/CaseStudy/casestudycsv\Bruno Ortiz_100 Free_vs_NCAA_March 2015.csv,BruOrtM100FreeF20150328,2015-03-28,12.5
2,6.5,1.15,0.05,20.02,H:/CaseStudy/casestudycsv\Bruno Ortiz_100 Free_vs_NCAA_March 2015.csv,BruOrtM100FreeF20150328,2015-03-28,7.5
3,7,1.12,0.05,,H:/CaseStudy/casestudycsv\Bruno Ortiz_100 Free_vs_NCAA_March 2015.csv,BruOrtM100FreeF20150328,2015-03-28,7.2
4,7.5,1.15,0.07,22.24,H:/CaseStudy/casestudycsv\Bruno Ortiz_100 Free_vs_NCAA_March 2015.csv,BruOrtM100FreeF20150328,2015-03-28,6.8
1,5.5,0.95,0.04,,H:/CaseStudy/casestudycsv\Cristian Quintero_100 Free_vs_NCAA_March 2015.csv,CriQuiM100FreeF20150328,2015-03-28,11.5
2,7.5,1.02,0.03,20.24,H:/CaseStudy/casestudycsv\Cristian Quintero_100 Free_vs_NCAA_March 2015.csv,CriQuiM100FreeF20150328,2015-03-28,6.4
3,8,1.03,0.04,,H:/CaseStudy/casestudycsv\Cristian Quintero_100 Free_vs_NCAA_March 2015.csv,CriQuiM100FreeF20150328,2015-03-28,5.7
