Swimmer,Gender,Meet,Race.Date,Distance,Discipline,Session,Source_File,Unique.ID,Swimmer,
Tyler Messerschmidt,M,NCAA,2015-03-28,100,Free,Finals,H:/CaseStudy/casestudycsv\Tyler Messerschmidt_100 Free_vs_NCAA_March 2015.csv,TylMesM100FreeF20150328,Tyler,Messerschmidt
Bruno Ortiz,M,NCAA,2015-03-28,100,Free,Finals,H:/CaseStudy/casestudycsv\Bruno Ortiz_100 Free_vs_NCAA_March 2015.csv,BruOrtM100FreeF20150328,Bruno,Ortiz
Cristian Quintero,M,NCAA,2015-03-28,100,Free,Finals,H:/CaseStudy/casestudycsv\Cristian Quintero_100 Free_vs_NCAA_March 2015.csv,CriQuiM100FreeF20150328,Cristian,Quintero
John Murray,M,NCAA,2015-03-28,100,Free,Finals,H:/CaseStudy/casestudycsv\John Murray_100 Free_vs_NCAA_March 2015.csv,JohMurM100FreeF20150328,John,Murray
Kristian Gkolomeev,M,NCAA,2015-03-28,100,Free,Finals,H:/CaseStudy/casestudycsv\Kristian Gkolomeev_100 Free_vs_NCAA_March 2015.csv,KriGkoM100FreeF20150328,Kristian,Gkolomeev
Michael Chadwick,M,NCAA,2015-03-28,100,Free,Finals,H:/CaseStudy/casestudycsv\Michael Chadwick_100 Free_vs_NCAA_March 2015.csv,MicChaM100FreeF20150328,Michael,Chadwick
Nick Soedel,M,NCAA,2015-03-28,100,Free,Finals,H:/CaseStudy/casestudycsv\Nick Soedel_100 Free_vs_NCAA_March 2015.csv,NicSoeM100FreeF20150328,Nick,Soedel
Simonas Bilis,M,NCAA,2015-03-28,100,Free,Finals,H:/CaseStudy/casestudycsv\Simonas Bilis_100 Free_vs_NCAA_March 2015.csv,SimBilM100FreeF20150328,Simonas,Bilis
Simonas Bilis,M,NCAA,2016-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Simonas Bilis_100 Free_vs_NCAA_March 2016.csv,SimBilM100FreeF20160326,Simonas,Bilis
Brett Ringgold,M,NCAA,2016-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Brett Ringgold_100 Free_vs_NCAA_March 2016.csv,BreRinM100FreeF20160326,Brett,Ringgold
Caeleb Dressel,M,NCAA,2016-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Caeleb Dressel_100 Free_vs_NCAA_March 2016.csv,CaeDreM100FreeF20160326,Caeleb,Dressel
John Murray,M,NCAA,2016-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\John Murray_100 Free_vs_NCAA_March 2016.csv,JohMurM100FreeF20160326,John,Murray
Kristian Gkolomeev,M,NCAA,2016-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Kristian Gkolomeev_100 Free_vs_NCAA_March 2016.csv,KriGkoM100FreeF20160326,Kristian,Gkolomeev
Michael Chadwick,M,NCAA,2016-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Michael Chadwick_100 Free_vs_NCAA_March 2016.csv,MicChaM100FreeF20160326,Michael,Chadwick
Michael Trice,M,NCAA,2016-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Michael Trice_100 Free_vs_NCAA_March 2016.csv,MicTriM100FreeF20160326,Michael,Trice
Ryan Held,M,NCAA,2016-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Ryan Held_100 Free_vs_NCAA_March 2016.csv,RyaHelM100FreeF20160326,Ryan,Held
Santo Condorelli,M,NCAA,2017-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Santo Condorelli_100 Free_vs_NCAA_March 2017.csv,SanConM100FreeF20170325,Santo,Condorelli
Blake Pieroni,M,NCAA,2017-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Blake Pieroni_100 Free_vs_NCAA_March 2017.csv,BlaPieM100FreeF20170325,Blake,Pieroni
Brett Ringgold,M,NCAA,2017-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Brett Ringgold_100 Free_vs_NCAA_March 2017.csv,BreRinM100FreeF20170325,Brett,Ringgold
Caeleb Dressel,M,NCAA,2017-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Caeleb Dressel_100 Free_vs_NCAA_March 2017.csv,CaeDreM100FreeF20170325,Caeleb,Dressel
Dylan Carter,M,NCAA,2017-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Dylan Carter_100 Free_vs_NCAA_March 2017.csv,DylCarM100FreeF20170325,Dylan,Carter
